Source,RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
2 Bedroom,6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,700698.7977390974,700010.1976456214,698169.4631672775,697672.1030349527,695840.7791700758,695606.4623010134,696089.8380698216,697541.4298070397,699438.9827216747,701213.6134635359,701370.3917058246,700681.8659811172,699071.0245912225,698541.3425907925,698043.415605802,698223.7860283634,697871.3712229916,697641.2159585167,696678.0846789612,695690.3704273097,693565.2326626268,691832.3232668202,688437.1743929364,685006.1186907951,680720.0924160267,678501.5510494006,677459.3099406391,677367.4876284129,678417.4151797188,680702.8633828935,683028.3600108596,685890.7187054311,687788.3637824007,690298.9602755448,692422.3817952278,695602.335897601,701588.2594076303,709192.5688906662,715361.5530750771,717738.9998846779,718022.3498368552,719474.4580979627,722149.4574894736,724389.0472184663,727936.2079776083,729500.7109943473,729420.2066338509,724598.487103918,720318.0013794882,717750.1968553852,718495.3863518845,720484.1681945339,720958.8023057057,719995.5488976268,719777.766760971,721728.2331906053,725140.924570735,727349.8155576551,726497.1454793374,723617.9334710981
2 Bedroom,12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,600696.1869860791,608730.2044866453,613034.2193202424,610380.2657501558,601961.2095412795,591269.0865742321,582682.7082056784,577362.7991871984,573868.4450285439,574822.6360610219,580019.9144303295,588066.2049905305,595824.7427800841,602631.5291743398,609325.0811194117,613248.0906393401,614837.9985075102,614797.0914632833,614742.4434444372,612492.9515165273,608121.6596977526,607471.1672173863,612926.5352458798,624619.9641985195,637379.7579520579,650540.3414927569,662067.5368776423,667210.63524431,668471.8121721968,667141.0160731877,670573.7751442302,677208.618834491,685884.1639223841,696609.3982257097,706175.0102835096,715019.4617953757,721945.4350082999,728566.3078578208,735658.212548383,741919.7451684083,747757.1808971801,753524.1901673302,758928.7608715672,764507.8062051273,768021.8329570736,771388.5436446484,771151.4876791127,769584.5922307171,766693.1123875653,765962.9212174807,765459.7161445664,759611.267510235,749065.500149223,737427.4510957837,731358.8256837856,730627.7940428875,734014.3322326335,741765.5732472693,752700.0924754603,764177.5332154563
2 Bedroom,39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,124706.43672644308,125661.89028792748,126615.04693981745,127476.21101108976,128237.60938012895,129002.56484574742,129486.60456720646,130169.84046676678,130699.02901779512,131229.94440950738,131635.28483720977,132213.036773346,133093.6813965939,134056.3516447299,134864.35601392263,135568.27678355254,136282.63189269372,137046.7712885988,137697.02277614255,137872.9576219416,137853.87920524494,137901.0451527902,138533.13518690184,139585.76796322802,141035.91693615817,142742.85264772398,144440.4362177512,145990.2706231511,147461.9979932818,149118.68962094854,150954.05295970678,153000.88772565514,155079.24896539826,156295.51757617542,156440.13572304673,155977.1504591181,156230.77561450753,157286.32967592348,158741.1458607623,161050.2820172103,163867.5592381629,167366.54225263922,170658.25029951788,173712.328771202,176355.2983083279,178314.6691915357,179478.59271195997,180257.20355860548,181013.51893426725,181958.64653525723,182298.90918103125,182007.39561743624,181439.63327849293,181210.9174712964,181334.8414709429,181701.8103041697,182243.698878662,182519.3130333019,182750.6646750628,182637.09088245072
2 Bedroom,17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,236530.52822421884,236578.19483563013,236714.38430408537,237262.75060117609,238475.63231348625,239709.3595021364,240663.7031297593,240772.94846823192,240731.8155198689,240211.1377184163,239709.44986002697,238875.910793639,238583.2015623931,238795.6541658515,239574.25038913405,242133.95504777643,245103.99958969405,248203.2177427364,249288.13556247324,249195.59897963607,248120.44564187407,246909.40005294653,246531.54621945543,247649.3636602001,249714.51067090328,252467.40512603227,255079.82579945016,257782.84382398744,260972.7912330661,264430.18764581083,267398.20878395205,269206.5092627684,270421.90261801245,271593.04646671825,272382.33301203774,272245.8845102914,271841.0118523939,271615.3821320704,272348.3125168488,273360.30754035764,275488.8032653916,278461.8829960045,282042.9986750243,283884.47764232627,284533.1321232905,283501.7602182487,281891.88077286904,279590.32229254296,277870.7953159072,277270.9495244462,277295.10839153465,276888.8682974577,276836.4837488637,277757.8427144823,280079.5315252012,282620.7736096152,285015.3938495786,287311.5405865,289892.40433429513,292189.2034577154
2 Bedroom,40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,187163.0572007089,188455.02922576663,189764.58248462985,191207.98405743155,192516.49979749284,193456.31483440625,194065.21572365923,194306.45376398155,194604.6585522316,194893.52358006648,195496.8451111115,196306.71991873407,197594.41108237053,199350.9094864577,201328.12680570103,204222.01825463283,207866.1406035293,212079.1025013888,215512.4667994388,217675.7941908576,218370.4087021713,218622.0062576048,219249.5825313776,221372.47010746168,224437.96845088617,228282.6991109331,232309.75104871308,236289.65311544787,240360.90649787243,245129.8235366845,250722.2212729964,257472.0587220434,265233.3222194564,273241.0808901864,280626.9971295625,286493.7184116196,291708.4276371144,296678.0004941558,301726.3911159291,307298.79065747204,313873.7744572759,321894.22070173424,330663.7341650973,339319.0920768758,346876.7494265812,351158.0666785789,351300.41663080064,347655.4681542236,342889.2588743805,337830.7956593079,332917.7949266552,327631.9528263887,323078.3960775964,319975.2096081017,318757.22330335487,318655.07923914323,319534.42272206774,321187.9102618751,323666.0714139512,326060.91658824787
2 Bedroom,18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,190230.31359441287,192405.19758922607,194175.3980283311,195512.6708098745,196598.5810141164,197207.8273572192,197738.67391228263,197830.8523353765,198238.96461154104,198485.5687102334,198700.18566857887,198502.32548137967,198281.8546697736,198316.863474093,198628.3718766244,200376.5568996331,202945.6482292149,205913.6762253938,208094.4559471448,209157.97945873693,208752.91524149704,207297.37277773893,205713.52323510783,205044.63649342643,205136.74805623828,206189.15532439228,207903.54836046,209773.1543893309,211605.3383006367,213794.17347550704,216484.59247930453,220274.27508401964,225352.0959806071,231315.4629489233,237086.1926595202,241843.49523815743,246101.47736477383,250570.0171353286,255156.07431786763,260580.73085071603,266871.7090052822,274582.5852595305,282824.4570739533,290728.35467206297,297727.5772641683,302447.1922155907,304049.2215772078,302466.2313492543,299103.2225605278,294955.4483032092,290640.67200681387,285937.61316793057,281841.7731201236,278622.1575427989,276875.7949260445,276033.4991405161,276196.1198469784,277144.1466645254,278938.58621853293,280774.9697093771
2 Bedroom,38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,162917.1914163734,163802.73096851294,164678.36178805158,165799.3177567244,166643.56702287417,167440.23731306018,167697.51404029154,167804.20688231385,167776.41890003273,167958.2528454703,168313.129064756,168736.50223587663,169383.85742967567,170312.734932216,171420.84785862666,173150.2105846421,174978.12927409486,176636.5263370735,177236.678972414,176794.71717950367,175915.7070714084,175463.68471221637,175958.72765859438,177266.43217285315,179051.7637252015,181293.1770403223,183752.00946111337,186446.6132722752,189557.7956351977,192983.09094908665,196352.9296075703,199231.2229352152,201719.79958116857,203192.3953833362,203677.8524953655,203614.6082203365,204022.1248134339,205301.66024634257,207211.39946898576,211151.8758330065,216541.5048107567,222995.28875144225,228906.91041146693,234099.80206613525,238393.262403563,241037.26806728684,241946.419861034,241779.48398467663,241874.36747840577,242070.23083616525,241864.62977744968,240839.38182704864,239448.2562757983,238724.5854682045,238510.0656377706,238866.5537879589,239434.32444946383,239951.5985033404,240956.11936953617,241563.39823909893
2 Bedroom,20330,17,San Francisco,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",San Francisco County,1221097.6249165982,1223872.8103322012,1222574.6680783138,1217995.144114599,1208929.8949132692,1199872.7104066887,1194369.9367184814,1192327.340238045,1194542.1504967932,1199676.066397868,1206970.6097228376,1213601.1548238762,1218557.047185071,1223512.383292779,1228638.3021428578,1233183.532045901,1236202.5501596455,1240368.9557278163,1243482.15926633,1241250.636320115,1232077.194922427,1224241.6031833545,1223667.6409202898,1228062.6788378546,1231573.1824194768,1233539.621149388,1234041.343046324,1233051.5901868811,1231240.85913619,1231108.4220460718,1234123.3815659324,1242525.3913757422,1253666.082781262,1267013.9258848724,1276478.099227518,1282893.7705417424,1287954.1399834745,1296677.5202429974,1305760.105834574,1316000.382466151,1329770.0226677142,1347366.9595741292,1362217.6945222907,1368200.0712534636,1362832.9519609325,1347061.407029297,1321529.723471714,1291630.5797451574,1265591.5651678208,1245331.2152943008,1229808.625601354,1212350.1420408983,1196557.4557304825,1184051.830469006,1179258.5101763497,1177197.1891995105,1177327.8769606582,1178104.375643663,1180168.0970386837,1181742.0984296522
2 Bedroom,12700,20,Miami,city,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,312467.9154468116,313288.1550244523,314611.0360910524,315779.0876610281,317129.94769382145,318030.84094472794,318456.1580291149,317749.59376380075,316719.23220396903,315967.35118480865,315734.5493618285,315918.4936102249,316577.0923154022,317893.430208804,319877.16569145024,322635.0805202969,325478.59456038056,328087.36445347965,329348.3853163936,328949.8319463688,327507.3916157157,326132.6921312639,326206.6418000896,327645.0511947953,330315.28595601313,333804.5232976591,337669.30077079247,341375.05588804325,344729.28665895347,348469.5769029075,352675.16540620633,357857.7229561396,363351.76167737873,368650.3048869209,373370.3224104362,377339.3389400456,381553.9763706152,386745.4753327011,393136.06784468726,402213.8722120899,413320.6029272032,427146.2243822293,440851.0117545624,453554.80289165885,464422.1644974432,473012.03029892896,478630.7457994297,481267.7018350231,483161.8570410794,485303.31671585847,487971.7933607456,489311.223824865,489646.4312436236,490737.1498758691,493328.4105416708,496912.60927117895,500820.5072984805,504653.5092087418,508939.2144959866,512786.0700427722
2 Bedroom,11093,23,Denver,city,CO,CO,"Denver-Aurora-Lakewood, CO",Denver County,362272.6205788053,363354.8118193999,364611.4658868714,365940.8690405002,367397.6240503164,368882.3036159568,370103.946243807,370909.012405288,371333.0414846222,371435.85846939305,371373.1525700343,371362.0736122133,371600.89023766463,372390.161557982,373330.6474209732,376040.8801297836,380277.7649133768,385929.29355222016,390827.69256612175,392897.5506678164,391788.7602495485,389395.97703015147,388098.2547385685,389637.6647912911,392774.5029696056,396698.7859057275,400359.6317019987,403318.9601079571,407069.3536806356,412354.70781804126,419263.4170184399,426703.4830377831,434047.24810156383,440030.2428135587,443689.6383866035,445156.4275580277,446589.19701165817,448957.23355698615,452529.6010639868,457903.2504822128,465617.0002382197,475540.4343391452,485494.3332244063,494199.6665940445,499472.1924837572,500076.5027079784,496264.4061970426,490639.4849801067,486257.3561903371,483412.7857566667,480960.35465326905,478140.67878784967,475187.00738468784,473051.7597385011,471965.8328945202,472029.2951360738,472986.973421571,474327.8555822513,475692.4722166119,476478.1202578273
2 Bedroom,16037,24,Seattle,city,WA,WA,"Seattle-Tacoma-Bellevue, WA",King County,633734.0892889157,628873.8606560341,624344.173394997,619365.1244633748,614855.6143991753,612213.6743937045,611004.5551429586,610160.5110069535,609086.6222897555,607182.8329423086,605314.8124263188,603262.3968899482,602642.1953459085,602998.0327675579,604781.1890284432,606254.8688083446,608295.144710193,611417.147703146,616099.2077169818,619014.2473539225,619804.5832592828,620487.8569651222,624116.205957303,631032.5898057626,637562.8422286035,643383.5951649487,646645.811243643,648955.761700108,651104.5081408756,654468.22670702,659942.4803173724,665806.2325692859,671224.2054936317,675175.1833288213,677046.3149688652,677899.6561995359,679997.6616373071,684799.7984748257,691964.5958120947,702138.327314651,714967.1517699258,731227.56676686,747215.4694758914,759229.4463897273,763051.1790377538,757049.9863930251,744871.3244337601,730805.251441033,721221.4093775492,716071.2902269149,712706.5463189863,707706.1161748563,701670.6052012591,695443.1289155581,690820.8219673219,687996.531438595,687615.2309335672,688065.0132307445,689686.1231481062,691315.0613656509
2 Bedroom,44269,29,Boston,city,MA,MA,"Boston-Cambridge-Newton, MA-NH",Suffolk County,664951.8182529495,666472.695876435,667266.4147140313,667516.6576016998,666486.1181236692,666094.3249189629,666935.0201642631,667768.34699494,668773.6598453509,668656.9435969171,668162.2799912402,666923.051270289,666874.7163368441,667418.8388841123,667733.2839452924,669643.6517674257,672371.2030492637,675707.8089464011,677039.9022393305,678387.3790450663,679110.833747259,679585.1352564283,679756.5897980739,681580.2965052316,684189.7860804411,687644.8394354568,690587.9511133406,692484.8163523232,694557.4857448246,696209.4134729566,698153.1227380069,700125.4806817811,702465.9912721827,707117.7258548156,713457.2311887951,720122.2913934292,725892.0017284285,730576.647898699,734692.7161179249,736078.1582353674,736964.1032834767,738831.6487999744,742851.4514374804,747244.557967715,750527.5854865592,750069.0415284085,745245.8460871998,736912.5738433335,730004.9092353899,725891.5799860572,724044.6661136808,722058.3657053352,719519.1757009691,717940.4821496294,719099.9395077573,722212.2097101295,725857.9401937028,728828.5981799393,731146.3367763249,732400.1818875024
2 Bedroom,37211,37,Atlanta,city,GA,GA,"Atlanta-Sandy Springs-Alpharetta, GA",Fulton County,274898.24624064856,277971.92349878285,280640.05478350486,282757.0195670123,283832.0727736352,284399.48512694595,284279.3826626796,284104.2591676322,283726.5881957827,284010.1223012891,284533.35851707024,285275.32441337616,285699.54346309364,286321.24514978874,286999.83846136386,288721.03318037937,290459.6057425018,292333.9714112697,292993.2528264983,292635.57352390606,291586.3494873492,290830.8595659555,291337.3423791115,293328.9173395855,295988.6408961595,298994.9864829749,301418.2822698396,304055.1534413157,306691.05982908467,310115.6128619321,312914.21091807383,315638.504142748,318116.68160139973,320934.3627523854,323926.6999897075,326586.7704724174,329214.9805387081,331642.0387937496,334381.9254789354,338105.0462065207,342462.8875277312,347180.4161802056,351395.0655064461,355764.6048576913,359816.30000376445,362156.6523673786,361936.8607043841,360047.0338251752,358727.0873020518,357964.14158353704,357325.7329748187,356428.7190632776,355368.52658789715,354845.951669476,354776.80242144485,355358.2666186095,356016.7199019726,356738.80058596964,358170.5517194423,359901.5039895375
2 Bedroom,5983,53,Minneapolis,city,MN,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,245956.48997092247,246318.0976941037,247150.5080735364,248450.7750720212,250356.8673799784,252163.29293210528,253435.82167722392,253620.9389777236,253384.5637540072,252915.3062652877,252825.97793725165,252816.71803327184,253237.16965943016,254089.3371365927,255490.35924944523,257242.0726600932,259072.3221756863,261192.9650482547,263355.01082420605,264393.38544632425,263330.84349373594,261226.17191907807,259759.9231826289,260401.016444088,262598.301569721,265362.52975360985,267848.1373113764,269570.26945693704,271297.90140673605,273609.7728210981,276681.6212046691,279946.0286436666,282777.94146937784,284184.46373600105,283756.709105294,281718.42361801275,279413.61694825947,277721.6183061211,276616.53858288284,276504.0466116186,277518.71394521993,279544.4007892918,282281.1649680182,284782.4610070176,286953.3205167357,287107.0918089072,285615.6395947816,283055.4369709767,281354.2494961622,280475.6305714935,279736.88474460883,278892.79184015765,278113.7136765238,277377.63711181696,277020.562482355,277141.4239753851,278299.07437606977,279748.1806249648,281431.2075610429,282586.6855017233
